keyword,occurrence,paper_ids
quantization,207,2605.00320|2605.00421|2605.00422|2605.00539|2605.00649|2605.01330|2605.01637|2605.01708|2605.01742|2605.01866|2605.01910|2605.01935|2605.02086|2605.02196|2605.02262|2605.02275|2605.02404|2605.02849|2605.02853|2605.03039|2605.03396|2605.03562|2605.03884|2605.04201|2605.04282|2605.04738|2605.04952|2605.05096|2605.05249|2605.05330|2605.05561|2605.05639|2605.05693|2605.05699|2605.05994|2605.06014|2605.06052|2605.06067|2605.06082|2605.06207|2605.06366|2605.06485|2605.06505|2605.06628|2605.07182|2605.07245|2605.07317|2605.07321|2605.07662|2605.08137|2605.08195|2605.08241|2605.08263|2605.08317|2605.08657|2605.08692|2605.08755|2605.08813|2605.08855|2605.08885|2605.08894|2605.09281|2605.09375|2605.09503|2605.09825|2605.09986|2605.10210|2605.10655|2605.10673|2605.10679|2605.10793|2605.10875|2605.10886|2605.10959|2605.10989|2605.11098|2605.11222|2605.11354|2605.11396|2605.11433|2605.11478|2605.11582|2605.11983|2605.12110|2605.12245|2605.12327|2605.12396|2605.12464|2605.13248|2605.13517|2605.13768|2605.13810|2605.13907|2605.13915|2605.14333|2605.14359|2605.14434|2605.14512|2605.14844|2605.14897|2605.14929|2605.15138|2605.15152|2605.15208|2605.15507|2605.15572|2605.15626|2605.15828|2605.16007|2605.16138|2605.16343|2605.16423|2605.16732|2605.16882|2605.16901|2605.17127|2605.17160|2605.17170|2605.17415|2605.17471|2605.17524|2605.17552|2605.17613|2605.17682|2605.17745|2605.17757|2605.17779|2605.17887|2605.17997|2605.18079|2605.18475|2605.18739|2605.18800|2605.18856|2605.18862|2605.18933|2605.19207|2605.19378|2605.19533|2605.19561|2605.19645|2605.19688|2605.19929|2605.19972|2605.20295|2605.20315|2605.20402|2605.20706|2605.20802|2605.20868|2605.21072|2605.21171|2605.21226|2605.22015|2605.22064|2605.22351|2605.23057|2605.23078|2605.23081|2605.23226|2605.23310|2605.23373|2605.23988|2605.24011|2605.24019|2605.24058|2605.24144|2605.24391|2605.24649|2605.24754|2605.24786|2605.24890|2605.24921|2605.25054|2605.25203|2605.25469|2605.25880|2605.26089|2605.26092|2605.26175|2605.26189|2605.26266|2605.26339|2605.26415|2605.26628|2605.26632|2605.26660|2605.26812|2605.27003|2605.27358|2605.27563|2605.27616|2605.27646|2605.27808|2605.28034|2605.28208|2605.28691|2605.28803|2605.28873|2605.29128|2605.29642|2605.29705|2605.29756|2605.29843|2605.30149|2605.31035|2605.31124
sparsity,146,2605.00320|2605.01708|2605.01910|2605.02086|2605.02198|2605.02568|2605.02849|2605.03348|2605.03437|2605.03667|2605.04421|2605.04569|2605.05096|2605.05330|2605.05674|2605.05940|2605.06017|2605.06112|2605.06221|2605.06366|2605.06392|2605.06402|2605.06610|2605.06763|2605.06850|2605.07091|2605.07321|2605.07330|2605.07363|2605.07719|2605.07783|2605.07892|2605.08063|2605.08073|2605.08137|2605.08183|2605.08213|2605.08575|2605.08855|2605.08873|2605.09008|2605.09403|2605.09548|2605.10050|2605.10198|2605.10673|2605.10679|2605.10748|2605.10875|2605.10933|2605.11354|2605.11537|2605.11835|2605.11869|2605.11881|2605.12110|2605.13247|2605.13316|2605.13769|2605.13974|2605.13997|2605.14037|2605.14110|2605.14434|2605.14438|2605.14513|2605.14764|2605.14795|2605.14844|2605.14929|2605.15138|2605.15315|2605.15508|2605.15684|2605.16349|2605.16359|2605.16443|2605.16579|2605.16839|2605.16928|2605.17127|2605.17158|2605.17289|2605.17447|2605.17633|2605.17704|2605.17743|2605.17779|2605.18035|2605.18071|2605.18331|2605.18753|2605.18865|2605.19218|2605.19378|2605.19405|2605.19726|2605.20659|2605.20669|2605.20670|2605.20717|2605.20751|2605.20802|2605.20813|2605.20866|2605.21104|2605.21333|2605.21426|2605.21649|2605.21699|2605.21972|2605.22337|2605.22476|2605.22679|2605.23102|2605.23200|2605.23294|2605.23445|2605.24022|2605.24168|2605.24518|2605.25134|2605.25508|2605.25612|2605.25798|2605.25842|2605.26632|2605.27003|2605.27358|2605.27479|2605.27541|2605.27646|2605.27740|2605.28034|2605.28283|2605.28640|2605.28691|2605.29075|2605.29843|2605.29908|2605.30111|2605.30325|2605.30861|2605.30904|2605.31057|2605.31457
pruning,131,2605.00320|2605.00392|2605.00649|2605.01627|2605.01854|2605.02086|2605.02198|2605.02218|2605.03348|2605.04569|2605.05330|2605.05697|2605.05899|2605.06270|2605.06273|2605.06278|2605.06366|2605.06402|2605.06441|2605.07086|2605.07091|2605.07271|2605.07321|2605.07804|2605.08137|2605.08213|2605.08371|2605.08615|2605.08738|2605.08813|2605.08836|2605.08885|2605.09008|2605.09276|2605.09308|2605.09344|2605.09429|2605.09639|2605.09681|2605.09931|2605.09982|2605.10050|2605.10269|2605.10661|2605.10875|2605.11477|2605.11605|2605.11803|2605.11817|2605.13165|2605.13178|2605.13316|2605.13375|2605.13396|2605.13521|2605.13688|2605.13997|2605.14037|2605.14075|2605.14110|2605.14191|2605.14458|2605.14738|2605.14844|2605.14877|2605.15299|2605.15315|2605.15491|2605.15508|2605.15621|2605.15626|2605.15684|2605.15694|2605.16138|2605.16234|2605.16359|2605.16360|2605.16443|2605.16786|2605.17289|2605.17447|2605.17837|2605.18041|2605.18331|2605.18860|2605.19218|2605.19304|2605.19506|2605.20035|2605.20551|2605.20669|2605.20717|2605.21426|2605.21972|2605.22350|2605.22351|2605.22372|2605.22691|2605.22718|2605.23451|2605.23640|2605.23969|2605.24786|2605.25170|2605.25179|2605.25508|2605.25612|2605.25842|2605.26496|2605.26558|2605.26632|2605.27336|2605.27479|2605.27786|2605.28042|2605.28051|2605.28068|2605.28115|2605.28207|2605.28283|2605.29075|2605.29327|2605.29350|2605.29397|2605.29535|2605.29657|2605.29662|2605.29908|2605.29992|2605.31256|2605.31457
distillation,125,2605.01205|2605.01355|2605.01374|2605.01478|2605.01563|2605.01732|2605.01854|2605.01870|2605.02137|2605.02198|2605.02290|2605.02860|2605.02948|2605.02971|2605.03301|2605.03680|2605.04282|2605.04341|2605.04447|2605.04507|2605.05246|2605.05553|2605.05777|2605.05940|2605.06273|2605.06850|2605.07182|2605.07505|2605.07721|2605.07783|2605.07804|2605.08063|2605.08241|2605.08371|2605.08738|2605.08873|2605.08885|2605.09548|2605.09719|2605.09899|2605.09924|2605.09986|2605.10210|2605.10641|2605.10655|2605.10748|2605.11098|2605.11260|2605.11290|2605.11354|2605.11414|2605.11513|2605.11869|2605.12562|2605.13108|2605.13143|2605.13165|2605.13734|2605.13981|2605.14252|2605.14346|2605.14752|2605.14795|2605.14886|2605.14897|2605.15684|2605.15689|2605.15913|2605.16826|2605.17710|2605.17743|2605.17831|2605.17834|2605.17839|2605.18141|2605.18702|2605.18739|2605.18800|2605.18865|2605.19207|2605.19299|2605.19433|2605.19729|2605.19842|2605.20357|2605.20551|2605.20669|2605.20751|2605.20940|2605.21171|2605.21322|2605.21699|2605.21924|2605.22351|2605.22731|2605.22843|2605.23857|2605.24530|2605.25860|2605.26246|2605.26632|2605.27186|2605.27336|2605.27409|2605.27967|2605.28018|2605.28115|2605.28207|2605.28868|2605.29128|2605.29327|2605.29590|2605.29642|2605.29726|2605.29755|2605.29977|2605.29992|2605.30111|2605.30325|2605.30380|2605.30448|2605.30861|2605.31029|2605.31191|2605.31264
hardware,105,2605.00320|2605.00421|2605.01355|2605.01866|2605.01935|2605.02262|2605.03039|2605.03301|2605.03396|2605.03680|2605.03884|2605.04201|2605.04282|2605.04754|2605.05639|2605.05819|2605.06052|2605.06082|2605.06402|2605.06714|2605.06763|2605.06997|2605.07245|2605.07321|2605.07505|2605.08137|2605.08195|2605.08241|2605.08371|2605.08615|2605.08855|2605.09008|2605.09276|2605.09281|2605.09375|2605.09825|2605.10679|2605.10886|2605.11835|2605.12245|2605.12464|2605.13108|2605.13915|2605.14191|2605.14252|2605.14844|2605.14929|2605.15250|2605.15626|2605.15684|2605.15828|2605.16007|2605.16138|2605.16443|2605.16786|2605.17158|2605.17289|2605.17552|2605.17633|2605.17745|2605.18862|2605.19218|2605.19378|2605.19405|2605.19561|2605.20295|2605.20315|2605.20551|2605.20706|2605.20717|2605.20802|2605.21171|2605.21322|2605.21333|2605.22015|2605.22064|2605.22106|2605.23226|2605.23294|2605.24011|2605.24019|2605.24022|2605.24058|2605.24144|2605.24168|2605.24391|2605.25054|2605.25203|2605.25798|2605.25860|2605.25880|2605.26092|2605.26415|2605.26496|2605.26558|2605.27358|2605.28115|2605.28208|2605.28283|2605.28691|2605.28803|2605.29128|2605.29705|2605.30325|2605.31124
kv-cache,82,2605.00789|2605.01708|2605.01858|2605.01910|2605.02262|2605.03562|2605.03644|2605.03884|2605.04595|2605.05699|2605.05971|2605.06014|2605.06763|2605.06850|2605.06997|2605.07234|2605.07719|2605.07721|2605.08317|2605.08755|2605.08840|2605.09100|2605.09490|2605.09649|2605.09681|2605.10643|2605.11478|2605.12110|2605.12471|2605.13111|2605.13734|2605.13810|2605.13915|2605.14037|2605.14877|2605.15250|2605.15852|2605.15913|2605.16439|2605.16579|2605.16839|2605.16928|2605.17170|2605.17447|2605.17613|2605.17757|2605.18053|2605.18071|2605.18739|2605.18856|2605.19218|2605.20813|2605.20868|2605.21226|2605.21649|2605.22106|2605.22269|2605.22337|2605.22718|2605.22850|2605.23200|2605.23258|2605.23640|2605.24022|2605.24786|2605.25085|2605.25475|2605.26266|2605.26678|2605.27646|2605.27740|2605.28115|2605.28208|2605.28283|2605.28640|2605.29075|2605.29873|2605.30083|2605.30349|2605.30351|2605.30574|2605.31105
kv-cache(title),47,2605.00789|2605.01858|2605.02262|2605.03562|2605.03644|2605.03884|2605.04595|2605.05699|2605.05971|2605.06763|2605.06850|2605.06997|2605.07234|2605.08317|2605.08840|2605.09649|2605.09681|2605.11478|2605.12471|2605.13111|2605.13734|2605.14877|2605.16439|2605.17170|2605.17447|2605.17613|2605.17757|2605.18071|2605.21226|2605.22106|2605.22269|2605.22337|2605.22850|2605.23258|2605.23640|2605.24022|2605.24786|2605.25085|2605.25475|2605.26266|2605.26678|2605.27646|2605.29873|2605.30083|2605.30351|2605.30574|2605.31105
vq,36,2605.01708|2605.04952|2605.05096|2605.05249|2605.06014|2605.06207|2605.08657|2605.08692|2605.09375|2605.10673|2605.11433|2605.11478|2605.13248|2605.13517|2605.13810|2605.14333|2605.14359|2605.14434|2605.14512|2605.14844|2605.14929|2605.15507|2605.17415|2605.17779|2605.19561|2605.19972|2605.23310|2605.24019|2605.24144|2605.24921|2605.26089|2605.26339|2605.27646|2605.28034|2605.29642|2605.30904
rotation,29,2605.01637|2605.04738|2605.05699|2605.06014|2605.06067|2605.08885|2605.09375|2605.09825|2605.10793|2605.11222|2605.11478|2605.13768|2605.13810|2605.16007|2605.16732|2605.17415|2605.17524|2605.17757|2605.19218|2605.19561|2605.19972|2605.20295|2605.21226|2605.22679|2605.25203|2605.26339|2605.28034|2605.28803|2605.29843
low-rank,25,2605.00422|2605.01627|2605.01910|2605.02218|2605.03562|2605.03667|2605.04341|2605.04738|2605.05994|2605.09281|2605.15250|2605.15621|2605.15626|2605.16443|2605.16732|2605.17743|2605.17985|2605.18794|2605.19842|2605.20659|2605.24058|2605.27003|2605.28803|2605.29726|2605.30351
