keyword,occurrence,paper_ids
硬件部署,154,2606.01607|2606.01790|2606.02303|2606.02877|2606.03026|2606.03052|2606.03128|2606.03257|2606.03428|2606.04050|2606.04063|2606.04115|2606.04238|2606.04373|2606.04620|2606.04922|2606.05025|2606.05429|2606.05627|2606.05698|2606.05868|2606.05988|2606.06034|2606.06078|2606.06302|2606.06521|2606.06527|2606.06528|2606.06850|2606.06864|2606.07474|2606.07684|2606.08382|2606.08635|2606.08761|2606.08978|2606.09080|2606.09659|2606.09864|2606.09885|2606.09886|2606.10369|2606.10445|2606.10504|2606.10520|2606.10533|2606.10722|2606.11065|2606.11106|2606.11244|2606.11357|2606.11572|2606.11605|2606.12018|2606.12171|2606.12280|2606.12876|2606.13233|2606.13328|2606.14010|2606.14030|2606.14150|2606.14354|2606.14598|2606.14631|2606.14684|2606.14695|2606.14786|2606.14886|2606.15243|2606.15346|2606.15355|2606.15523|2606.15652|2606.15789|2606.15920|2606.16067|2606.16414|2606.16996|2606.17118|2606.17249|2606.17462|2606.17872|2606.18096|2606.18114|2606.18463|2606.18687|2606.19483|2606.19526|2606.20005|2606.20189|2606.20381|2606.20414|2606.20474|2606.20675|2606.21257|2606.21448|2606.21847|2606.21851|2606.21947|2606.21956|2606.22935|2606.22942|2606.23124|2606.23210|2606.23419|2606.23898|2606.24033|2606.24248|2606.24467|2606.24557|2606.24747|2606.25278|2606.25285|2606.25324|2606.25488|2606.26002|2606.26488|2606.26587|2606.26650|2606.26822|2606.26861|2606.27089|2606.27313|2606.27527|2606.27678|2606.27708|2606.27743|2606.27759|2606.27797|2606.27866|2606.27884|2606.28432|2606.28516|2606.29130|2606.29563|2606.29869|2606.30382|2606.30676|2606.31048|2606.31145|2606.31198|2606.31349|2606.31456|2606.31519|2606.32036|2607.01272|2607.08779|2607.08786|2607.16228|2607.16246|2607.22583|2607.22587|2607.22629
量化,121,2606.01850|2606.02011|2606.02288|2606.02823|2606.03002|2606.03026|2606.03458|2606.04050|2606.04063|2606.04115|2606.04238|2606.04349|2606.04373|2606.04374|2606.04620|2606.04920|2606.04945|2606.04980|2606.05429|2606.05484|2606.05568|2606.05627|2606.05682|2606.05688|2606.05861|2606.06034|2606.06521|2606.06527|2606.06528|2606.06547|2606.06850|2606.07116|2606.07684|2606.07819|2606.08078|2606.08382|2606.08635|2606.08761|2606.09012|2606.09864|2606.09927|2606.10154|2606.10445|2606.10520|2606.10531|2606.10890|2606.11065|2606.11106|2606.11244|2606.11357|2606.11363|2606.11780|2606.12280|2606.12487|2606.12742|2606.12876|2606.13054|2606.13233|2606.13300|2606.13328|2606.14030|2606.14354|2606.14598|2606.15243|2606.15355|2606.15523|2606.15652|2606.15682|2606.15789|2606.16131|2606.17107|2606.17118|2606.17249|2606.17500|2606.18114|2606.18304|2606.18463|2606.19526|2606.19558|2606.19565|2606.20381|2606.20474|2606.20675|2606.21257|2606.21372|2606.21448|2606.21947|2606.21956|2606.22249|2606.22935|2606.23210|2606.23406|2606.23419|2606.24033|2606.25087|2606.25519|2606.25674|2606.26002|2606.26398|2606.26488|2606.26587|2606.26650|2606.26822|2606.27313|2606.27644|2606.27729|2606.27759|2606.27884|2606.28432|2606.28962|2606.29130|2606.29337|2606.29581|2606.30676|2606.31456|2606.31519|2606.31676|2607.08779|2607.16228|2607.16237|2607.16248
知识蒸馏,95,2606.01607|2606.01607|2606.02303|2606.02303|2606.02877|2606.02877|2606.03052|2606.03128|2606.04238|2606.04922|2606.04922|2606.05025|2606.05682|2606.05868|2606.05988|2606.06078|2606.06078|2606.06864|2606.06864|2606.07474|2606.07474|2606.07684|2606.08978|2606.08978|2606.10369|2606.10504|2606.10504|2606.11106|2606.11572|2606.11572|2606.11605|2606.12018|2606.12171|2606.12171|2606.13657|2606.14010|2606.14631|2606.14631|2606.14684|2606.14684|2606.14786|2606.14886|2606.14886|2606.15243|2606.15355|2606.15920|2606.16414|2606.16414|2606.17462|2606.17462|2606.18114|2606.18687|2606.19483|2606.19483|2606.20005|2606.20189|2606.20189|2606.21704|2606.21851|2606.21851|2606.21956|2606.22942|2606.23124|2606.23898|2606.23898|2606.24033|2606.24248|2606.24557|2606.24557|2606.24747|2606.25278|2606.25278|2606.25324|2606.25488|2606.25674|2606.26488|2606.27089|2606.27527|2606.27678|2606.27678|2606.27708|2606.27708|2606.27797|2606.27797|2606.29130|2606.29869|2606.31048|2606.31198|2606.31198|2606.31349|2606.31349|2607.01272|2607.01272|2607.16246|2607.22629
剪枝,76,2606.01544|2606.01666|2606.01850|2606.02346|2606.03002|2606.03052|2606.03257|2606.03328|2606.03428|2606.03569|2606.04063|2606.07819|2606.08156|2606.08635|2606.08641|2606.09074|2606.09080|2606.09885|2606.09886|2606.09916|2606.10309|2606.10445|2606.10533|2606.11836|2606.12278|2606.12412|2606.14030|2606.14150|2606.14277|2606.14346|2606.14695|2606.15161|2606.15346|2606.15716|2606.16067|2606.16633|2606.16996|2606.17609|2606.18096|2606.18304|2606.18681|2606.19150|2606.19932|2606.21244|2606.21704|2606.21847|2606.22935|2606.23086|2606.23210|2606.23568|2606.24156|2606.24165|2606.24747|2606.24796|2606.24970|2606.25285|2606.25488|2606.26002|2606.26398|2606.26488|2606.26861|2606.27089|2606.27161|2606.27660|2606.27743|2606.27866|2606.30382|2606.30676|2606.31148|2606.31676|2606.31982|2606.32036|2607.08786|2607.18280|2607.22583|2607.22587
稀疏化,54,2606.01544|2606.01666|2606.01850|2606.02559|2606.03002|2606.03026|2606.03257|2606.03328|2606.03428|2606.04373|2606.04980|2606.05429|2606.05568|2606.07684|2606.08641|2606.09885|2606.09886|2606.10445|2606.10722|2606.11363|2606.11836|2606.12278|2606.13328|2606.13657|2606.14150|2606.14346|2606.14354|2606.14782|2606.15161|2606.15346|2606.15652|2606.15716|2606.15920|2606.17249|2606.17609|2606.18687|2606.19150|2606.20005|2606.20414|2606.21244|2606.23086|2606.23419|2606.24248|2606.25285|2606.26398|2606.26587|2606.27743|2606.27866|2606.28516|2606.29337|2606.29563|2606.30676|2607.08786|2607.18280
KV 缓存压缩,52,2606.01790|2606.01790|2606.02559|2606.02559|2606.03458|2606.03928|2606.03928|2606.05698|2606.05698|2606.05868|2606.05868|2606.06302|2606.06302|2606.08302|2606.08302|2606.08382|2606.08565|2606.08565|2606.08635|2606.09659|2606.09659|2606.09864|2606.09916|2606.09916|2606.12412|2606.12412|2606.12487|2606.14782|2606.14782|2606.15157|2606.15157|2606.15682|2606.17107|2606.17872|2606.17872|2606.20474|2606.23406|2606.24033|2606.24165|2606.24165|2606.24467|2606.24467|2606.26875|2606.26875|2606.29563|2606.29563|2606.31145|2606.31145|2606.31519|2607.09683|2607.09683|2607.16248
Token 缩减,36,2606.03569|2606.03569|2606.08156|2606.08156|2606.08635|2606.08641|2606.08641|2606.10533|2606.10533|2606.12412|2606.14277|2606.14277|2606.16067|2606.16067|2606.16633|2606.16633|2606.17872|2606.18681|2606.18681|2606.19932|2606.19932|2606.24156|2606.24156|2606.24165|2606.27161|2606.27161|2606.27660|2606.27660|2606.27743|2606.27743|2606.31048|2606.31048|2606.31676|2606.31982|2606.31982|2607.16248
低秩分解,32,2606.01666|2606.03128|2606.03328|2606.04238|2606.05025|2606.05484|2606.07684|2606.08382|2606.08565|2606.10722|2606.12018|2606.14277|2606.17118|2606.17249|2606.18463|2606.19558|2606.21847|2606.23124|2606.23568|2606.24033|2606.26002|2606.26587|2606.26861|2606.28516|2606.31048|2606.31145|2606.31148|2607.16246|2607.18280|2607.18284|2607.18284|2607.22587
LLM 剪枝,27,2606.01544|2606.03257|2606.03328|2606.03428|2606.09080|2606.10722|2606.14150|2606.14695|2606.15161|2606.15346|2606.15920|2606.17609|2606.19150|2606.20005|2606.21847|2606.23568|2606.24747|2606.24970|2606.25285|2606.26861|2606.27089|2606.31148|2606.32036|2607.08786|2607.18280|2607.22583|2607.22587
向量量化,27,2606.02823|2606.04050|2606.04374|2606.04374|2606.05484|2606.05484|2606.05568|2606.05568|2606.06850|2606.10520|2606.10520|2606.10531|2606.11363|2606.11363|2606.12876|2606.15355|2606.15355|2606.16131|2606.16131|2606.20474|2606.20675|2606.21372|2606.21372|2606.21448|2606.26398|2606.26398|2606.27644
权重量化（PTQ）,26,2606.02288|2606.03002|2606.04349|2606.04920|2606.04945|2606.05627|2606.05688|2606.05861|2606.07116|2606.07684|2606.09927|2606.11106|2606.11244|2606.14030|2606.14354|2606.15523|2606.18304|2606.21947|2606.22935|2606.23210|2606.26822|2606.27313|2606.28432|2606.31676|2607.08779|2607.16237
量化影响分析,22,2606.01850|2606.02011|2606.04980|2606.06034|2606.06527|2606.06547|2606.08078|2606.09012|2606.10154|2606.11780|2606.12742|2606.19526|2606.19558|2606.20381|2606.20675|2606.21257|2606.22249|2606.26488|2606.27644|2606.28962|2606.29581|2607.16228
剪枝/稀疏化,18,2606.02346|2606.03052|2606.09074|2606.10309|2606.11836|2606.12278|2606.13657|2606.16996|2606.18096|2606.18687|2606.20414|2606.21244|2606.21704|2606.23086|2606.24248|2606.24796|2606.25488|2606.30382
极端低比特量化,15,2606.02823|2606.04050|2606.04238|2606.05429|2606.13054|2606.15652|2606.15789|2606.21448|2606.21956|2606.25674|2606.26587|2606.27729|2606.27759|2606.29130|2606.30676
LLM 知识蒸馏,15,2606.03128|2606.05025|2606.05988|2606.10369|2606.11605|2606.12018|2606.14010|2606.14786|2606.22942|2606.23124|2606.25324|2606.27527|2606.29869|2607.16246|2607.22629
KV 缓存量化,12,2606.03458|2606.08382|2606.08635|2606.09864|2606.12487|2606.15682|2606.17107|2606.20474|2606.23406|2606.24033|2606.31519|2607.16248
量化硬件部署,11,2606.03026|2606.06528|2606.06850|2606.11065|2606.11357|2606.12280|2606.14598|2606.17249|2606.17500|2606.18463|2606.29337
混合精度量化,10,2606.04063|2606.04620|2606.07819|2606.08761|2606.12876|2606.13300|2606.17118|2606.19565|2606.23419|2606.26002
低比特浮点（FP4/FP8）量化,8,2606.04115|2606.05682|2606.06521|2606.10445|2606.13233|2606.13328|2606.14346|2606.27884
量化感知训练（QAT）,7,2606.10531|2606.15243|2606.18114|2606.25087|2606.25519|2606.26650|2606.31456
MoE 专家剪枝,6,2606.01666|2606.09885|2606.09886|2606.15716|2606.27866|2606.28516
3DGS 压缩,5,2606.02346|2606.09074|2606.21244|2606.24796|2606.32036
数据无关量化,2,2606.04373|2606.10890
